ABS,1996,1,2,2006,5,31
ABX,1996,1,2,2002,7,18
ACAS,2007,7,9,2009,3,2
ACKH,1996,1,2,2000,11,8
ACS,2004,4,2,2010,2,2
AET,1996,1,2,2018,11,28
AFS.A,1998,4,8,2000,11,29
AGN,1996,1,2,2020,4,6
AKS,2008,7,1,2011,12,14
AMCC,2001,1,2,2006,5,10
ANDV,2007,9,27,2018,9,24
ANDW,1996,1,2,2006,9,28
ANRZQ,2011,6,2,2012,10,1
APC,1997,7,28,2019,8,8
APCC,2000,6,1,2007,2,14
APOL,2002,5,15,2013,6,27
ARG,2009,9,9,2016,5,20
ASN,2004,12,20,2007,10,4
AV,2000,10,2,2007,10,25
AVP,1996,1,2,2015,3,19
AW,1999,8,2,2008,12,4
AWE,2001,7,9,2004,10,26
AYE,2000,12,11,2011,2,23
AZA.A,1996,1,2,2001,6,20
BAY,1996,2,12,1998,8,28
BBT,1997,12,4,2019,12,5
BCR,1996,1,2,2017,12,27
BDK,1996,1,2,2010,3,11
BEV,1996,1,2,1997,12,2
BFO,1996,1,2,2000,10,2
BGEN,2000,1,31,2003,11,12
BGG,1996,1,2,2001,4,2
BHGE,1996,1,2,2019,10,3
BHMSQ,1996,1,2,2000,12,8
BJS,2002,5,15,2010,4,21
BLS,1996,1,2,2006,12,29
BMET,1996,1,2,2007,7,10
BMS,1996,1,2,2014,12,4
BNI,1996,1,2,2010,2,10
BOL,1996,1,2,2007,10,26
BRCM,2000,7,3,2016,1,26
BRL,2006,2,27,2008,12,22
BT,1996,1,2,1999,6,3
BVSN,2000,11,6,2001,8,31
BXLT,2015,7,1,2016,6,1
CA,1996,1,2,2018,10,31
CAM,2008,1,29,2016,3,31
CBE,1996,1,2,2012,11,27
CBS,1996,1,2,2019,11,21
CBSS,2004,12,20,2007,9,4
CCE,1998,10,8,2016,5,24
CCTYQ,1996,1,2,2008,3,18
CEG,1996,1,2,2012,3,2
CELG,2006,11,6,2019,11,5
CEPH,2008,11,17,2011,10,11
CFC,1997,6,18,2008,6,30
CFN,2009,9,1,2015,3,13
CGP,1996,1,2,2001,1,29
CIN,1996,1,2,2006,3,30
CIT.A,2000,7,17,2001,5,31
CITGQ,2004,10,27,2009,7,17
CMCSK,2015,9,21,2015,12,9
CMVT,1999,10,27,2007,1,24
CNW,1996,1,2,1996,11,27
COC.B,1999,8,9,2002,8,29
COL,2001,7,2,2018,11,15
CPGX,2015,7,2,2016,6,27
CPNLQ,2000,12,1,2005,11,28
CPQ,1996,1,2,2002,5,1
CRR,1996,1,2,1997,5,19
CSRA,2015,11,30,2018,4,2
CTL,1999,3,25,2020,6,22
CTX,1996,1,2,2009,8,18
CVC,2010,12,20,2016,6,20
CVH,2005,8,30,2013,5,2
CXO,2016,2,22,2021,1,7
DALRQ,1996,1,2,2005,8,18
DCNAQ,1996,1,2,2006,3,2
DF,2006,4,3,2013,5,17
DJ,1996,1,2,2007,12,12
DNR,2009,4,2,2015,3,19
DO,2009,2,26,2016,9,28
DPHIQ,1999,5,28,2005,10,10
DTV,2006,12,4,2015,7,23
DWDP,2017,9,1,2019,6,1
EDS,1998,8,11,2008,8,25
EKDKQ,1996,1,2,2010,12,17
EOP,2001,10,10,2007,2,9
EP,1999,10,26,2012,5,23
ESRX,2003,9,26,2018,12,19
ESV,2007,1,4,2016,3,29
ETFC,2004,4,1,2020,9,21
EVHC,2016,12,2,2018,10,10
FBF,1996,1,2,2004,3,29
FDO,2001,8,6,2015,7,6
FG,1996,1,2,1998,4,16
FII,2003,4,16,2012,12,28
FJ,1996,1,2,2000,11,22
FLMIQ,1996,1,2,1997,12,19
FLTWQ,1996,1,2,2000,1,28
FPC,1999,6,22,2000,11,29
FSH,2004,8,3,2006,11,7
FSL,2004,12,3,2006,12,1
FTL.A,1996,1,2,1999,9,30
FTR,2001,2,27,2017,3,17
FWLT,1996,1,2,2000,1,28
GAPTQ,1996,1,2,2000,8,25
GDW,1996,1,2,2006,9,28
GENZ,2001,12,14,2011,4,1
GFS.A,1996,1,2,1998,7,13
GGP,2007,7,2,2018,8,20
GLK,1996,1,2,2005,6,30
GMCR,2014,3,24,2016,2,26
GPU,1996,1,2,2001,11,5
GR,1996,1,2,2012,7,26
GTW,1998,4,27,2006,7,31
GX,1999,9,29,2001,10,4
HCBK,2007,2,15,2015,10,28
HCP,2008,3,31,2019,10,18
HDLM,1996,1,2,1996,3,5
HET,1996,1,2,2008,1,24
HM,1996,1,2,2001,12,14
HMA,2001,11,7,2007,2,26
HNZ,1996,1,2,2013,6,6
HOT,2000,11,17,2016,9,16
HPC,1996,1,2,2008,11,13
HRS,1996,1,2,2019,4,2
HSH,1996,1,2,2012,6,25
HSP,2004,5,3,2015,9,1
IKN,1996,1,2,2000,6,27
IMNX,2001,9,21,2002,7,10
INCLF,1996,1,2,2002,7,18
JAVA,1996,1,2,2010,1,21
JCP,1996,1,2,2013,11,27
JEC,2007,10,26,2019,12,9
JH,1996,1,2,1998,3,30
JHF,2001,6,29,2004,4,28
JNS,2000,7,13,2011,11,18
JNY,2001,12,17,2009,3,2
JOY,2011,2,28,2015,10,5
KATE,1996,1,2,2008,11,28
KM,1996,1,2,2002,1,15
KMG,1996,1,2,2006,8,10
KORS,2013,11,13,2018,9,18
KRB,1996,1,2,2005,12,29
KRFT,2012,10,2,2015,7,2
KRI,1996,1,2,2006,6,20
KSE,2000,8,21,2007,8,24
LDW.B,1996,1,2,1999,12,7
LEHMQ,1998,1,12,2008,9,16
LLL,2004,12,1,2019,6,7
LLTC,2000,4,3,2017,3,10
LM,2006,4,24,2016,11,29
LO,2008,6,11,2015,6,11
LOR,1996,1,2,1996,4,22
LVLT,2014,11,5,2017,10,10
LXK,1999,8,13,2012,9,25
MAY,1996,1,2,2005,8,22
MDR,1996,1,2,2003,8,18
MEA,1996,1,2,2002,1,28
MEDI,2000,6,16,2007,5,31
MEE,1996,1,2,2011,5,23
MEL,1996,1,2,2007,6,26
MER,1996,1,2,2008,12,29
MERQ,2000,6,29,2006,1,3
MFE,2008,12,23,2011,2,28
MHS,2003,8,20,2012,3,22
MI,2002,2,11,2011,7,5
MIL,1996,1,2,2010,7,12
MIR,1997,8,7,2003,7,16
MJN,2009,12,21,2017,6,7
MKG,1996,1,2,2000,10,17
MNK,2014,8,19,2017,7,25
MOLX,1999,12,1,2013,12,3
MON,2002,8,14,2018,6,6
MTLQQ,1996,1,2,2009,5,29
MWI,1996,1,2,1999,5,19
MWV,1996,1,2,2015,7,1
MWW,2001,6,4,2011,12,14
MYG,1996,1,2,2006,3,30
MYL,2004,4,23,2020,10,12
MZIAQ,1996,1,2,2000,6,27
NBL,2007,10,8,2020,10,7
NCE,1998,11,3,2000,8,17
NE,2001,1,16,2015,7,15
NFB,2002,7,17,2006,11,22
NFX,2010,12,20,2019,1,18
NGH,1998,9,16,2000,12,11
NMK,1996,1,2,2002,1,31
NOVL,1996,1,2,2011,4,25
NRTLQ,1996,1,2,2002,7,18
NSI,1996,1,2,2001,11,30
NSM,1996,1,2,2011,9,21
NVLS,2000,6,19,2012,6,4
NXTL,1998,4,1,2005,8,12
NYX,2007,10,25,2013,11,7
OAT,1996,1,2,2001,7,31
OK,1999,12,2,2001,3,30
OMX,1996,1,2,2008,6,18
OWENQ,1996,1,2,2000,9,27
PALM,2000,7,28,2002,8,9
PAS,1996,1,2,1998,1,29
PBG,2001,5,14,2010,2,26
PCL,2002,1,17,2016,2,16
PCP,2007,6,1,2016,1,26
PCS,1998,11,24,2004,4,19
PDG,1996,1,2,2002,7,18
PETM,2012,10,5,2015,3,11
PGL,1996,1,2,2007,2,16
